Tipo,Titulo,Mes,Año,Id,Genero
Movie,Tekken,3,2010,tt0411951,Action
Movie,Venus & Vegas,11,2010,tt0423474,Action
Movie,The A-Team,6,2010,tt0429493,Action
Movie,Segurança Nacional,5,2010,tt0439801,Action
Movie,Scott Pilgrim vs. the World,11,2010,tt0446029,Action
Movie,Taken by Force,,2010,tt0465637,Action
Movie,"Guns, Drugs and Dirty Money",,2011,tt0464032,Action
Movie,Komaram Puli,9,2010,tt0464162,Action
Movie,Prince of Persia: The Sands of Time,5,2010,tt0473075,Action
Movie,Unstoppable,12,2010,tt0477080,Action
Movie,The Losers,4,2010,tt0480255,Action
Movie,Clash of the Titans,4,2010,tt0800320,Action
Movie,Cross the Line,11,2010,tt0810815,Action
Movie,Gangster Exchange,2,2010,tt0846004,Action
Movie,Zenitram,5,2010,tt0861747,Action
Movie,How to Train Your Dragon,3,2010,tt0892769,Action
Short,Red Princess Blues,,2010,tt0903012,Action
Movie,Westbrick Murders,5,2010,tt0903036,Action
Movie,House Under Siege,3,2010,tt0914823,Action
Movie,The Dead Undead,5,2010,tt0923653,Action
Movie,The Waiter,3,2010,tt0934981,Action
Movie,The Last Airbender,8,2010,tt0938283,Action
Movie,Salt,8,2010,tt0944835,Action
Movie,Green Zone,4,2010,tt0947810,Action
Movie,Robin Hood,5,2010,tt0955308,Action
Movie,Private Security Officer: Los Angeles,12,2010,tt0960827,Action
Movie,The Sorcerer's Apprentice,7,2010,tt0963966,Action
Movie,The Fighter,3,2011,tt0964517,Action
Movie,White Wall,5,2010,tt0969653,Action
Movie,Headhunter: The Assessment Weekend,8,2010,tt0973809,Action
Movie,Sinatra Club,9,2010,tt0975738,Action
Movie,Boyle Heights,,2011,tt0977639,Action
Movie,Machete,9,2010,tt0985694,Action
Movie,Adventure Scouts,10,2010,tt0994917,Action
Short,Desprotegido,2,2010,tt10010312,Action
Movie,Spy,8,2011,tt0372538,Action
Movie,Cowboys & Aliens,8,2011,tt0409847,Action
Movie,Real Steel,11,2011,tt0433035,Action
Movie,Captain America: The First Avenger,7,2011,tt0458339,Action
Movie,Platinum Illusions,6,2011,tt0469158,Action
Movie,The Mechanic,3,2011,tt0472399,Action
Movie,Tower Heist,11,2011,tt0471042,Action
Movie,Season of the Witch,2,2011,tt0479997,Action
