id,puntuacion_imdb,argumento,titulo,director,guionista,duracion,puntuacion_tomatoes
tt0934981,4.4,A man travels through corporate corruption and his own sin to find his soul.,The Waiter,Jason Konopisos-Alvarez,Jason Konopisos-Alvarez,1h 32m,
tt0938283,4.0,"Aang, a young successor to a long line of Avatars, must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",Airbender: El último guerrero,M. Night Shyamalan,M. Night Shyamalan,1h 43m,5%
tt0944835,6.5,A CIA agent goes on the run after a defector accuses her of being a Russian spy.,Salt,Phillip Noyce,Kurt Wimmer,1h 40m,62%
tt0947810,6.8,Discovering covert and faulty intelligence causes a U.S. Army officer to go rogue as he hunts for Weapons of Mass Destruction in an unstable region.,Green Zone: Distrito protegido,Paul Greengrass,Brian HelgelandRajiv Chandrasekaran,1h 55m,53%
tt0955308,6.6,"In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of wo... Read all",Robin Hood,Ridley Scott,Brian HelgelandEthan ReiffCyrus Voris,2h 20m,44%
tt0960827,6.8,"As Los Angeles grew to a population of over 5 million, crime was getting out of control. Budget cuts, low recruitment, and a rash of abuse lawsuits, left the LAPD unable to cope with the ris... Read all",Private Security Officer: Los Angeles,Scott Buchanan,Dale BuchananScott Buchanan,1h 24m,
tt0963966,6.1,A protege of the magician Merlin must train his teacher's successor - an introverted but resourceful physics prodigy - in the art of sorcery to prevent the return of Morgana le Fay.,El aprendiz de brujo,Jon Turteltaub,Lawrence KonnerMark RosenthalMatt Lopez,1h 49m,40%
tt0964517,7.8,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",The Fighter,David O. Russell,Scott SilverPaul TamasyEric Johnson,1h 56m,91%
tt0969653,3.1,"Set in a wasteland enclosed by a large white wall, the last survivor from a brutal child internment camp reluctantly takes on one final bounty hunting job to protect the idyllic life he has ... Read all",White Wall,James Boss,Vivian Kyinn,1h 35m,
tt0973809,3.3,"A motley group of business students in Berlin, Germany sign up for Takahashi Corp.'s assessment weekend, hoping to land one of the coveted spots with the consulting company. Under the watchf... Read all",Headhunter: The Assessment Weekend,Sebastian Panneck,Christoph Willumeit,1h 33m,
