actor
Cesario Augusto
Lloyd DeLeon
Arlette Torres
Ramón Rodríguez
Jim Ortlieb
Sam Bilinkas
Pedro Lander
Adriano Siri
Carolina Gómez
Ágnes Bertalan
Carlos Alberto Riccelli
Similião Aurélio
János Bácskai
Tonja Walker
Gyula Buss
Roberto Cano
Steven Leon
Frank Stallone
Jacob Zachar
James Lew
Carlota Sosa
Eduardo Dussek
Christina Clark
Jacqueline Leonard
Kirstin Murray
John Malkovich
László Csurka
Clive Russell
Celinez Bosque
Dawn Noel
Graham McTavish
Steve Haggard
Vincent Pastore
John Goodman
Nestor Miranda
Óscar Borda
Ferenc Borbiczky
Michael Madsen
Henry Garrett
Lora Kojovic
Skipp Sudduth
Daniela Bascopé
Bryce Pegelow
James Mapes
Vinny Vella
Gyula Balázsi
Gábor Csíkos
Mike Bash
Gerald Bunsen
Brian Deneen
Christovam Netto
Mark Gantt
Corbin Timbrook
John Brotherton
Dana Delany
Selton Mello
Ed Lauter
Iván Dengyel
Yvonne Reyes
Péter Benkö
Péter Blaskó
Monique Yates Jr.
Danny A. Gonzales
Julissa Bermudez
Ben Curtis
Branscombe Richmond
Lesley Mackie
Angelo Lozada
Bill Murdoch
Jim Bonney
Christopher Fosh
Jeff Osterhage
Johnny Nisbet
Kory Bassett
Judy Courtland
Brittania Nicol
